GENDER,SERVICE_NAME,SERVICE,TYPE,PRICE,OLD PRICE,image_url
WOMEN,WAXING,Under Arms Wax,Honey Wax,100,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Under Arms Wax,Rice Wax,200,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Full Arms Wax,Honey Wax,300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Full Arms Wax,Rice Wax,500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Half Arms Wax,Honey Wax,150,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Half Arms Wax,Rice Wax,300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,3 - 4 Arms,Honey Wax,250,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,3 - 4 Arms,Rice Wax,400,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Full Legs Wax,Honey Wax,600,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Full Legs Wax,Rice Wax,1000,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Half Legs Wax,Honey Wax,300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Half Legs Wax,Rice Wax,500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Blouse Line Wax,Honey Wax,300,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Blouse Line Wax,Rice Wax,600,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Full Body Waxing,Honey Wax,2500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Full Body Waxing,Rice Wax,3500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
WOMEN,WAXING,Bigini,Honey Wax,1500,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5IW5s1fmfNCWVZqRjv2aYlQyx_kBs5JXBDOrkxLJRoxuWfEeJ468LCHU&s=10
